Index,Track Name,Latitude,Longitude,Elevation,MetersfromLastNode
117,community side trails,18.0317704000,-66.0292696000,157.5020000000,6.4444123841
118,community side trails,18.0318098000,-66.0292672000,157.9920000000,4.2057945871
119,community side trails,18.0318556000,-66.0292568000,157.9820000000,5.5090959715
120,community side trails,18.0318924000,-66.0292474000,158.4420000000,4.0781817687
121,community side trails,18.0319420000,-66.0292360000,159.1020000000,5.7306658872
122,community side trails,18.0319880000,-66.0292288000,159.8320000000,5.2283368492
123,community side trails,18.0320384000,-66.0292226000,160.6520000000,5.6136175775
124,community side trails,18.0320884000,-66.0292244000,161.5520000000,5.8118241326
125,community side trails,18.0321422000,-66.0292324000,162.5420000000,6.1982022357
126,community side trails,18.0322052000,-66.0292552000,163.6520000000,7.2558850103
127,community side trails,18.0322548000,-66.0292794000,164.5120000000,6.2771834205
128,community side trails,18.0322948000,-66.0293100000,165.0520000000,5.4223198725
129,community side trails,18.0323222000,-66.0293362000,165.3120000000,4.2001522577
130,community side trails,18.0323568000,-66.0293750000,165.8820000000,5.2710310826
131,community side trails,18.0323846000,-66.0294114000,166.3120000000,5.3093685185
132,community side trails,18.0324156000,-66.0294566000,167.0220000000,6.1432950636
133,community side trails,18.0324368000,-66.0294958000,167.5620000000,4.4071204509
134,community side trails,18.0324592000,-66.0295392000,168.1620000000,5.6575681880
135,community side trails,18.0324842000,-66.0295856000,168.7820000000,5.2221926701
136,community side trails,18.0325158000,-66.0296310000,169.5120000000,6.2532175546
137,community side trails,18.0325530000,-66.0296734000,170.4520000000,5.9630080303
138,community side trails,18.0326000000,-66.0297090000,171.3620000000,6.4907974886
139,community side trails,18.0326478000,-66.0297398000,172.1920000000,6.4800657433
140,community side trails,18.0326992000,-66.0297628000,172.8020000000,6.1246808139
141,community side trails,18.0327472000,-66.0297830000,173.2720000000,6.0687217378
142,community side trails,18.0327956000,-66.0297972000,173.7420000000,5.5290970766
143,community side trails,18.0328454000,-66.0298092000,174.3020000000,5.5815677264
144,community side trails,18.0328964000,-66.0298160000,174.8320000000,5.7661248329
145,community side trails,18.0329496000,-66.0298214000,175.7020000000,5.9936046133
146,community side trails,18.0330078000,-66.0298234000,176.4320000000,6.6854456037
147,community side trails,18.0330680000,-66.0298214000,177.1120000000,6.4913153319
148,community side trails,18.0331330000,-66.0298152000,177.5720000000,7.2657107899
149,community side trails,18.0331980000,-66.0298026000,177.7620000000,7.3606835224
150,community side trails,18.0332622000,-66.0297896000,178.1220000000,7.2600656527
151,community side trails,18.0333208000,-66.0297754000,178.3220000000,6.9925749251
152,community side trails,18.0333728000,-66.0297650000,178.7120000000,5.8893124060
153,community side trails,18.0334212000,-66.0297544000,178.9720000000,5.3714985566
154,community side trails,18.0334692000,-66.0297458000,179.3920000000,5.3816161938
155,community side trails,18.0335258000,-66.0297376000,179.7320000000,6.3163677276
156,community side trails,18.0335748000,-66.0297338000,180.0320000000,5.5615010799
157,community side trails,18.0336242000,-66.0297330000,180.2720000000,5.5114752227
158,community side trails,18.0336618000,-66.0297346000,180.3820000000,4.1786012144
159,community side trails,18.0337104000,-66.0297384000,180.5920000000,5.5573729641
160,community side trails,18.0337558000,-66.0297422000,180.6420000000,5.1267499151
161,community side trails,18.0338068000,-66.0297480000,180.7320000000,5.5541330792
162,community side trails,18.0338484000,-66.0297530000,180.7120000000,4.6138070608
163,community side trails,18.0338908000,-66.0297600000,180.6720000000,4.9893386497
164,community side trails,18.0339310000,-66.0297600000,180.5920000000,4.3677564095
165,community side trails,18.0339758000,-66.0297588000,180.4820000000,4.9378608732
166,community side trails,18.0340156000,-66.0297516000,180.3820000000,4.4274627384
167,community side trails,18.0340616000,-66.0297472000,180.2720000000,5.1782907372
168,community side trails,18.0341008000,-66.0297454000,180.2220000000,4.5571686037
169,community side trails,18.0341482000,-66.0297450000,180.1620000000,5.1268571945
170,community side trails,18.0341958000,-66.0297502000,180.1420000000,5.1265451029
171,community side trails,18.0342476000,-66.0297688000,180.0320000000,6.4515063913
172,community side trails,18.0342974000,-66.0298000000,179.7420000000,6.5909859721
173,community side trails,18.0343430000,-66.0298450000,179.3520000000,6.7237061864
174,community side trails,18.0343842000,-66.0298898000,178.8620000000,6.6982035170
175,community side trails,18.0344214000,-66.0299274000,178.6120000000,6.0237986707
176,community side trails,18.0344596000,-66.0299560000,178.4820000000,4.8766336673
177,community side trails,18.0344976000,-66.0299716000,178.6420000000,4.4227053477
178,community side trails,18.0345376000,-66.0299782000,178.9020000000,4.6210838117
179,community side trails,18.0345816000,-66.0299680000,179.2020000000,4.8107488874
180,community side trails,18.0346222000,-66.0299448000,179.5520000000,5.0578191145
181,community side trails,18.0346654000,-66.0299076000,179.8420000000,6.4335732644
182,community side trails,18.0347104000,-66.0298692000,180.0220000000,6.1189013234
183,community side trails,18.0347592000,-66.0298404000,180.1320000000,6.5855173566
184,community side trails,18.0348170000,-66.0298312000,180.0520000000,6.4963609823
185,community side trails,18.0348652000,-66.0298376000,180.0820000000,5.3652855443
186,community side trails,18.0349118000,-66.0298546000,180.1520000000,5.5659409163
187,community side trails,18.0349476000,-66.0298706000,180.4020000000,4.4268739522
