name,lat,long,time,dist,elev
more accurate points of interest,18.0592196,-66.03167160000001,2019-08-05 17:16:04+00:00,0.00020532845759661344,212.716
more accurate points of interest,18.059233199999998,-66.0316686,2019-08-05 17:16:07+00:00,0.00020532845759661344,212.756
more accurate points of interest,18.0592462,-66.0316592,2019-08-05 17:16:10+00:00,0.00020532845759661344,212.496
more accurate points of interest,18.0592526,-66.0316498,2019-08-05 17:16:16+00:00,0.00020532845759661344,211.856
more accurate points of interest,18.0592596,-66.0316464,2019-08-05 17:16:23+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.0592672,-66.03164720000001,2019-08-05 17:16:28+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.0592746,-66.031648,2019-08-05 17:16:35+00:00,0.00020532845759661344,209.096
more accurate points of interest,18.059281,-66.03165600000001,2019-08-05 17:16:47+00:00,0.00020532845759661344,208.336
more accurate points of interest,18.0592816,-66.0316668,2019-08-05 17:17:08+00:00,0.00020532845759661344,207.70600000000002
more accurate points of interest,18.0592792,-66.0316834,2019-08-05 17:17:12+00:00,0.00020532845759661344,207.73600000000002
more accurate points of interest,18.0592702,-66.0316916,2019-08-05 17:17:17+00:00,0.00020532845759661344,208.066
more accurate points of interest,18.0592578,-66.03169059999999,2019-08-05 17:17:21+00:00,0.00020532845759661344,208.506
more accurate points of interest,18.0592426,-66.03168020000001,2019-08-05 17:17:33+00:00,0.00020532845759661344,208.726
more accurate points of interest,18.059227399999997,-66.03166379999999,2019-08-05 17:17:37+00:00,0.00020532845759661344,208.726
more accurate points of interest,18.059219400000003,-66.0316464,2019-08-05 17:17:41+00:00,0.00020532845759661344,208.816
more accurate points of interest,18.0592132,-66.03163119999999,2019-08-05 17:18:01+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.0592028,-66.031624,2019-08-05 17:18:07+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.0591884,-66.03161899999999,2019-08-05 17:18:10+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.0591752,-66.0316212,2019-08-05 17:18:13+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.0591668,-66.03161940000001,2019-08-05 17:18:15+00:00,0.00020532845759661344,210.312
more accurate points of interest,18.059168600000003,-66.03161560000001,2019-08-05 17:18:20+00:00,0.00020532845759661344,207.876
more accurate points of interest,18.0591814,-66.03161360000001,2019-08-05 17:18:27+00:00,0.00020532845759661344,207.066
more accurate points of interest,18.059193399999998,-66.03160720000001,2019-08-05 17:18:34+00:00,0.00020532845759661344,206.336
more accurate points of interest,18.059213400000004,-66.03160700000001,2019-08-05 17:18:35+00:00,0.00020532845759661344,205.73600000000002
more accurate points of interest,18.059227400000005,-66.0316042,2019-08-05 17:18:37+00:00,0.00020532845759661344,205.036
more accurate points of interest,18.059237399999997,-66.03159980000001,2019-08-05 17:18:47+00:00,0.00020532845759661344,205.096
more accurate points of interest,18.059255200000006,-66.0315982,2019-08-05 17:18:51+00:00,0.00020532845759661344,205.036
more accurate points of interest,18.059261600000006,-66.0315948,2019-08-05 17:19:01+00:00,0.00020532845759661344,205.01600000000002
more accurate points of interest,18.0592778,-66.03159160000001,2019-08-05 17:19:05+00:00,0.00020532845759661344,204.526
more accurate points of interest,18.059279999999998,-66.0315858,2019-08-05 17:19:09+00:00,0.00020532845759661344,204.36599999999999
more accurate points of interest,18.059283800000006,-66.0315856,2019-08-05 17:19:19+00:00,0.00020532845759661344,204.10600000000002
more accurate points of interest,18.0592824,-66.03158300000001,2019-08-05 17:19:39+00:00,0.00020532845759661344,204.746
more accurate points of interest,18.059281,-66.031586,2019-08-05 17:19:50+00:00,0.00020532845759661344,205.10600000000002
more accurate points of interest,18.0592798,-66.03158379999999,2019-08-05 17:19:58+00:00,0.00020532845759661344,206.126
more accurate points of interest,18.059278000000006,-66.03158300000001,2019-08-05 17:20:05+00:00,0.00020532845759661344,206.29600000000002
more accurate points of interest,18.059279999999998,-66.0315854,2019-08-05 17:20:19+00:00,0.00020532845759661344,205.996
more accurate points of interest,18.059279600000004,-66.03159360000001,2019-08-05 17:21:11+00:00,0.00020532845759661344,205.086
